province,temp_max,temp_min,precipitation,humidity,cloud,weather_type,date
Ca Mau,35,27,0.1,67,13,Rain,4/14/2020
Ca Mau,35,26,0.2,70,34,Rain,4/15/2020
Ca Mau,35,26,0.0,68,26,Sunny,4/16/2020
Ca Mau,35,26,1.8,67,34,Rain,4/17/2020
Ca Mau,33,28,1.3,68,22,Rain,4/18/2020
Ca Mau,35,28,0.0,64,7,Sunny,4/19/2020
Ca Mau,35,28,0.0,62,8,Sunny,4/20/2020
Ca Mau,35,28,2.3,64,7,Rain,4/21/2020
Ca Mau,36,28,2.1,66,12,Rain,4/22/2020
Ca Mau,34,28,3.8,68,27,Rain,4/23/2020
Ca Mau,34,29,15.7,67,24,Drizzle,4/24/2020
Ca Mau,33,28,18.3,69,31,Drizzle,4/25/2020
Ca Mau,33,28,19.2,71,39,Drizzle,4/26/2020
Ca Mau,33,28,10.8,70,33,Drizzle,4/27/2020
Ca Mau,33,28,8.5,68,16,Drizzle,4/28/2020
Ca Mau,33,28,11.6,69,28,Drizzle,4/29/2020
Ca Mau,33,28,1.5,69,21,Rain,4/30/2020
Ca Mau,33,28,0.9,69,33,Rain,5/1/2020
Ca Mau,34,28,1.2,67,24,Rain,5/2/2020
Ca Mau,34,29,0.6,67,28,Rain,5/3/2020
Ca Mau,33,29,8.2,69,40,Drizzle,5/4/2020
Ca Mau,34,28,15.2,70,26,Drizzle,5/5/2020
Ca Mau,34,29,22.8,69,20,Drizzle,5/6/2020
Ca Mau,33,28,17.9,71,43,Drizzle,5/7/2020
Ca Mau,33,27,27.4,72,33,Drizzle,5/8/2020
Ca Mau,33,27,7.3,70,27,Drizzle,5/9/2020
Ca Mau,33,27,19.7,71,52,Drizzle,5/10/2020
Ca Mau,33,28,25.9,73,39,Drizzle,5/11/2020
Ca Mau,34,28,20.0,73,37,Drizzle,5/12/2020
Ca Mau,31,28,4.2,76,49,Rain,5/13/2020
Ca Mau,33,28,10.9,71,35,Drizzle,5/14/2020
Ca Mau,34,28,2.8,72,37,Rain,5/15/2020
Ca Mau,33,28,20.8,75,43,Drizzle,5/16/2020
Ca Mau,34,28,5.7,73,48,Drizzle,5/17/2020
Ca Mau,33,28,15.2,75,35,Drizzle,5/18/2020
Ca Mau,34,28,4.0,73,26,Rain,5/19/2020
Ca Mau,33,28,7.4,73,27,Drizzle,5/20/2020
Ca Mau,34,28,16.1,74,35,Drizzle,5/21/2020
Ca Mau,34,28,1.9,73,25,Rain,5/22/2020
Ca Mau,34,28,4.5,70,29,Rain,5/23/2020
Ca Mau,34,28,4.7,71,37,Rain,5/24/2020
Ca Mau,33,28,4.1,72,42,Rain,5/25/2020
Ca Mau,34,28,6.5,70,44,Drizzle,5/26/2020
Ca Mau,33,28,2.5,70,35,Rain,5/27/2020
Ca Mau,34,28,3.2,70,34,Rain,5/28/2020
Ca Mau,34,28,1.7,69,60,Rain,5/29/2020
Ca Mau,34,28,4.4,69,42,Rain,5/30/2020
Ca Mau,33,28,8.7,70,31,Drizzle,5/31/2020
Ca Mau,33,28,1.5,73,31,Rain,6/1/2020
Ca Mau,34,28,7.0,71,35,Drizzle,6/2/2020
Ca Mau,34,28,1.8,68,24,Rain,6/3/2020
Ca Mau,34,28,4.3,69,34,Rain,6/4/2020
Ca Mau,33,28,1.5,68,54,Rain,6/5/2020
Ca Mau,34,28,4.9,67,50,Rain,6/6/2020
Ca Mau,33,28,3.0,68,59,Rain,6/7/2020
Ca Mau,34,27,2.0,68,37,Rain,6/8/2020
Ca Mau,34,27,2.4,72,39,Rain,6/9/2020
Ca Mau,34,28,4.6,71,29,Rain,6/10/2020
Ca Mau,28,27,7.9,79,70,Drizzle,6/11/2020
Ca Mau,34,27,0.0,73,53,Sunny,6/12/2020
Ca Mau,33,28,3.4,75,55,Rain,6/13/2020
Ca Mau,32,27,1.9,73,34,Rain,6/14/2020
Ca Mau,34,27,1.4,68,12,Rain,6/15/2020
Ca Mau,34,28,0.7,69,11,Rain,6/16/2020
Ca Mau,33,28,2.8,69,19,Rain,6/17/2020
Ca Mau,33,27,3.5,70,16,Rain,6/18/2020
Ca Mau,33,28,2.2,68,20,Rain,6/19/2020
Ca Mau,33,27,1.4,68,61,Rain,6/20/2020
Ca Mau,33,28,9.8,69,62,Drizzle,6/21/2020
Ca Mau,30,28,3.1,71,59,Rain,6/22/2020
Ca Mau,30,27,22.0,72,51,Drizzle,6/23/2020
Ca Mau,32,27,1.0,68,56,Rain,6/24/2020
Ca Mau,33,27,4.7,68,46,Rain,6/25/2020
Ca Mau,33,28,0.0,67,23,Sunny,6/26/2020
Ca Mau,33,27,2.0,69,24,Rain,6/27/2020
Ca Mau,33,27,6.5,72,27,Drizzle,6/28/2020
Ca Mau,32,27,9.9,73,20,Drizzle,6/29/2020
Ca Mau,33,27,4.5,73,23,Rain,6/30/2020
Ca Mau,34,27,3.5,72,38,Rain,7/1/2020
Ca Mau,33,27,0.1,72,20,Rain,7/2/2020
Ca Mau,33,27,1.9,71,24,Rain,7/3/2020
Ca Mau,34,28,2.0,70,30,Rain,7/4/2020
Ca Mau,33,28,1.9,70,28,Rain,7/5/2020
Ca Mau,34,28,3.8,67,22,Rain,7/6/2020
Ca Mau,33,28,4.9,68,27,Rain,7/7/2020
Ca Mau,34,27,2.9,68,20,Rain,7/8/2020
Ca Mau,34,27,1.9,69,13,Rain,7/9/2020
Ca Mau,34,27,0.7,70,47,Rain,7/10/2020
Ca Mau,32,27,2.3,71,54,Rain,7/11/2020
Ca Mau,33,27,1.5,69,51,Rain,7/12/2020
Ca Mau,32,27,3.7,71,56,Rain,7/13/2020
