province,temp_max,temp_min,precipitation,humidity,cloud,weather_type,date
Can Tho,36,26,0.0,64,45,Sunny,4/17/2020
Can Tho,36,27,6.6,64,27,Drizzle,4/18/2020
Can Tho,37,27,0.0,59,16,Sunny,4/19/2020
Can Tho,38,27,0.0,57,10,Sunny,4/20/2020
Can Tho,38,28,0.0,58,12,Sunny,4/21/2020
Can Tho,39,28,1.7,62,15,Rain,4/22/2020
Can Tho,36,28,30.6,70,26,Drizzle,4/23/2020
Can Tho,35,27,13.0,69,27,Drizzle,4/24/2020
Can Tho,35,27,10.8,70,25,Drizzle,4/25/2020
Can Tho,36,27,8.0,70,29,Drizzle,4/26/2020
Can Tho,34,27,8.1,71,47,Drizzle,4/27/2020
Can Tho,34,27,9.4,70,24,Drizzle,4/28/2020
Can Tho,35,26,4.6,68,27,Rain,4/29/2020
Can Tho,33,27,6.2,72,35,Drizzle,4/30/2020
Can Tho,34,27,1.6,70,54,Rain,5/1/2020
Can Tho,35,27,7.7,70,57,Drizzle,5/2/2020
Can Tho,35,27,8.3,70,50,Drizzle,5/3/2020
Can Tho,34,27,13.8,73,43,Drizzle,5/4/2020
Can Tho,36,27,13.6,73,28,Drizzle,5/5/2020
Can Tho,34,28,6.4,71,34,Drizzle,5/6/2020
Can Tho,31,26,0.8,78,50,Rain,5/7/2020
Can Tho,34,25,1.7,71,38,Rain,5/8/2020
Can Tho,34,26,13.6,73,44,Drizzle,5/9/2020
Can Tho,31,26,0.2,77,47,Rain,5/10/2020
Can Tho,33,26,0.8,71,47,Rain,5/11/2020
Can Tho,35,27,5.0,69,30,Rain,5/12/2020
Can Tho,33,27,0.0,71,48,Sunny,5/13/2020
Can Tho,35,27,11.9,68,50,Drizzle,5/14/2020
Can Tho,33,27,17.9,76,48,Drizzle,5/15/2020
Can Tho,29,27,6.2,84,57,Drizzle,5/16/2020
Can Tho,35,26,6.3,74,46,Drizzle,5/17/2020
Can Tho,35,27,15.2,77,49,Drizzle,5/18/2020
Can Tho,34,27,7.8,77,41,Drizzle,5/19/2020
Can Tho,34,27,13.0,78,32,Drizzle,5/20/2020
Can Tho,34,27,16.8,81,47,Drizzle,5/21/2020
Can Tho,34,27,7.3,79,27,Drizzle,5/22/2020
Can Tho,34,27,10.9,77,33,Drizzle,5/23/2020
Can Tho,34,27,10.0,77,41,Drizzle,5/24/2020
Can Tho,34,27,5.7,76,45,Drizzle,5/25/2020
Can Tho,35,27,5.7,74,47,Drizzle,5/26/2020
Can Tho,33,27,7.7,77,53,Drizzle,5/27/2020
Can Tho,33,27,12.1,78,45,Drizzle,5/28/2020
Can Tho,33,26,8.4,79,64,Drizzle,5/29/2020
Can Tho,34,27,17.4,77,45,Drizzle,5/30/2020
Can Tho,32,27,11.6,79,41,Drizzle,5/31/2020
Can Tho,34,26,3.2,77,31,Rain,6/1/2020
Can Tho,32,26,2.1,80,49,Rain,6/2/2020
Can Tho,34,26,1.2,75,21,Rain,6/3/2020
Can Tho,34,26,9.5,78,48,Drizzle,6/4/2020
Can Tho,33,26,1.1,76,61,Rain,6/5/2020
Can Tho,33,26,4.8,75,59,Rain,6/6/2020
Can Tho,32,26,4.9,76,66,Rain,6/7/2020
Can Tho,34,26,2.5,75,57,Rain,6/8/2020
Can Tho,34,26,4.3,76,36,Rain,6/9/2020
Can Tho,34,26,5.8,77,44,Drizzle,6/10/2020
Can Tho,29,26,3.8,85,58,Rain,6/11/2020
Can Tho,34,26,0.0,76,34,Sunny,6/12/2020
Can Tho,33,26,1.3,79,56,Rain,6/13/2020
Can Tho,32,26,2.1,79,30,Rain,6/14/2020
Can Tho,34,25,0.4,71,21,Rain,6/15/2020
Can Tho,34,26,3.1,72,28,Rain,6/16/2020
Can Tho,33,26,1.6,75,30,Rain,6/17/2020
Can Tho,34,26,0.9,75,25,Rain,6/18/2020
Can Tho,33,26,0.8,73,29,Rain,6/19/2020
Can Tho,32,26,0.3,74,61,Rain,6/20/2020
Can Tho,33,26,1.2,74,57,Rain,6/21/2020
Can Tho,27,26,2.1,87,81,Rain,6/22/2020
Can Tho,32,25,1.7,78,60,Rain,6/23/2020
Can Tho,32,25,4.3,76,52,Rain,6/24/2020
Can Tho,32,26,0.6,73,56,Rain,6/25/2020
Can Tho,33,25,3.2,73,30,Rain,6/26/2020
Can Tho,32,25,7.3,78,29,Drizzle,6/27/2020
Can Tho,32,25,10.6,79,30,Drizzle,6/28/2020
Can Tho,34,25,10.0,78,29,Drizzle,6/29/2020
Can Tho,33,25,2.7,80,41,Rain,6/30/2020
Can Tho,34,25,3.0,77,58,Rain,7/1/2020
Can Tho,33,26,0.2,75,24,Rain,7/2/2020
Can Tho,33,26,2.5,76,23,Rain,7/3/2020
Can Tho,34,26,0.9,75,38,Rain,7/4/2020
Can Tho,34,26,2.0,73,42,Rain,7/5/2020
Can Tho,33,26,3.3,72,30,Rain,7/6/2020
